Time;Temp Winding;Mvar;MW
21/01/2025 15.51;69,89011383;28,30877304;126,8054199
21/01/2025 15.52;69,90389252;30,69834137;126,2093735
21/01/2025 15.53;69,91719055;30,37347221;126,8454819
21/01/2025 15.54;69,97371674;26,56383896;125,2529297
21/01/2025 15.55;69,95284271;27,60866547;124,4983521
21/01/2025 15.56;69,97415924;29,47021294;124,7695999
21/01/2025 15.57;69,92550659;30,32543945;125,6774979
21/01/2025 15.58;69,93894958;27,11556625;126,169075
21/01/2025 15.59;69,91767883;28,60146713;124,4380951
21/01/2025 16.00;69,97425079;26,98267937;124,7885513
21/01/2025 16.01;69,85482025;25,94296646;122,4725571
21/01/2025 16.02;69,92482758;23,98584747;120,0690155
21/01/2025 16.03;69,86235809;25,07035828;118,8036041
21/01/2025 16.04;69,77088928;25,64213181;119,0475616
21/01/2025 16.05;69,65208435;24,4235096;118,3319855
21/01/2025 16.06;69,53425598;23,77501297;117,5753708
21/01/2025 16.07;69,45055389;23,8998127;117,7451782
21/01/2025 16.08;69,33110809;24,36579514;117,9608002
21/01/2025 16.09;69,24111176;22,30588531;117,5343552
21/01/2025 16.10;69,12975311;24,69749832;120,2863159
21/01/2025 16.11;68,96215057;26,05045128;121,2773209
21/01/2025 16.12;68,94856262;24,41629219;123,9077682
21/01/2025 16.13;68,98274231;25,57400322;126,8191223
21/01/2025 16.14;69,01815033;24,63964081;127,6471939
21/01/2025 16.15;69,05982971;27,12864494;127,0063782
21/01/2025 16.16;69,0944519;24,79917145;122,4591522
21/01/2025 16.17;69,16596985;24,66687393;123,2792664
21/01/2025 16.18;69,19256592;23,50181389;124,3504333
21/01/2025 16.19;69,15750885;25,99867249;127,0785599
21/01/2025 16.20;69,25518799;22,59825134;125,2239304
21/01/2025 16.21;69,25518799;26,56759071;124,7284927
21/01/2025 16.22;69,36675262;26,55388641;126,3668976
21/01/2025 16.23;69,36655426;24,5970192;134,7196655
21/01/2025 16.24;69,48594666;25,85797119;125,0899582
21/01/2025 16.25;69,57618713;23,64734077;133,0809326
21/01/2025 16.26;69,71602631;24,82692909;126,1311569
21/01/2025 16.27;69,81419373;24,89744568;128,2883301
21/01/2025 16.28;69,82772827;26,45251846;145,3864441
21/01/2025 16.29;70,07159424;25,55374718;139,9772491
21/01/2025 16.30;70,26719666;23,79154396;128,5236664
21/01/2025 16.31;70,400177;25,58356285;129,1887665
21/01/2025 16.32;70,47618866;24,36752319;126,1679688
21/01/2025 16.33;70,53892517;23,95547676;123,8749237
21/01/2025 16.34;70,48987579;25,08141136;124,3884583
